,date,author,twitter_name,text,number_of_likes,number_of_retweets
60,2022-10-09 17:04:39+00:00,Alejandra🎈,ale_jaaaaaaa3,"Esto y lo de la Javeriana, es lo mas cringe que he visto en los últimos dias 😐 https://t.co/uNW7sYOT7U",1,0
61,2022-10-09 17:03:45+00:00,Profe en apuros 🎃,LegalmenteProfe,"No se que me da mas cringe, ver gomelos de la Javeriana decir cuánto valen los trapos que llevan puestos encima o ver a los gomelos de la Externado tratando de generar conciencia social sobre un reto culo de tiktok.",1,0
62,2022-10-09 17:02:08+00:00,⛱ Andrés 🏖,andresitour,Cuando vio los vídeos de la Javeriana y el Externado https://t.co/MJwYwoGKAn,2,0
63,2022-10-09 17:00:13+00:00,𝕾𝖊ñ𝖔𝖗 𝕬𝖇𝖔𝖌𝖆𝖉𝖔,DotorMataLawyer,Las peleas de esos (Javeriana y Externado) nos valen culo https://t.co/nTqHyeOD85,0,0
64,2022-10-09 16:58:47+00:00,Carlos Duran 🐐,CadpCdlm,"No puede haber más Cringe en un vídeo que el de la Javeriana.

Espérate no más papá... https://t.co/MnFE1upXWq",0,0
65,2022-10-09 16:56:35+00:00,Andrew Herrera,andhe_7,"@SebastianNohra @santiagoangelp Empecemos por, La Universidad Nacional es mejor que la Javeriana, pasar a la Javeriana es fácil, no fuiste capaz de pasar a la Nacional. Lo otro es falso.",0,0
66,2022-10-09 16:53:58+00:00,Fercho,Ferchoindahouse,"@UExternado Esto si es contenido, no como las estupideces de los gomelos del externado y la javeriana, patos.

https://t.co/pvouJ2ZOUl",0,0
67,2022-10-09 16:53:54+00:00,Mateo.,mateo_uribe1,@MalaCarosaToro Muy Javeriana de tu parte,1,0
68,2022-10-09 16:52:37+00:00,Lonely Boy,Sinatrae_,"este tweet fue idea de mi suegra; 

Los de la Javeriana los llevan los papás a comprar la ropa, los de el Externado los papás les escogen la ropa y se las dan.",2,1
69,2022-10-09 16:51:07+00:00,Julian Padilla 🪙🗽🎩,JulianPadillaq,@SoyIanDC @paisachiviada_ @UExternado Como puede el video de la javeriana afectar? Solo les afectaría a los resentidos y que viven todo el tiempo llorando.,1,0
70,2022-10-09 16:43:42+00:00,Manufo González,Manufogonzalez,@MrDarigaan @MaoteoTheDong Creo que podemos quemar su ropa con la de los de la javeriana también.,12,0
71,2022-10-09 16:42:57+00:00,Pao,paolalinuis,"@UExternado Jjajajaa, yo prefiero la troleada a esos videos de la javeriana de los dos chicos de la Nacho… sigamos riendo https://t.co/ar1eNALNnK",0,1
